data,produto,categoria,quantidade,preco_unitario
2025-01-01,Notebook,Eletrônicos,2,3500
2025-01-02,Mouse,Eletrônicos,10,80
2025-01-03,Teclado,Eletrônicos,5,150
2025-01-04,Cadeira,Moveis,1,900
2025-01-05,Mesa,Moveis,1,1200
2025-01-06,Monitor,Eletrônicos,3,1200
2025-01-07,Fone de Ouvido,Eletrônicos,8,200
2025-01-08,Luminária,Decoração,4,120
2025-01-09,Caderno,Papelaria,15,20
2025-01-10,Caneta,Papelaria,30,5
2025-01-11,Mochila,Acessórios,6,180
2025-01-12,Garrafa,Acessórios,10,60
2025-01-13,Smartphone,Eletrônicos,2,2500
2025-01-14,Tablet,Eletrônicos,3,1800
2025-01-15,Impressora,Eletrônicos,1,900
2025-01-16,Sofá,Moveis,1,2500
2025-01-17,Quadro,Decoração,2,300
2025-01-18,Agenda,Papelaria,7,25
2025-01-19,Estojo,Papelaria,5,35
2025-01-20,Relógio,Acessórios,4,400
